wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db
1293.2,-7.011542459517073,-5.413669911703055,-16.363010225874067,-13.160404751858454,-17.817228066906615,-4.528348514382111,-12.879398119938621,-16.668452343079366
1293.3,-7.395112933203115,-5.720360651843831,-16.368488215627014,-13.002405223484725,-17.780881331251702,-4.117909350724422,-12.954098344764498,-16.575868436357762
1293.4,-7.802180897555773,-6.050430979898796,-16.414987290305717,-12.884308280832935,-17.785864492877163,-3.733468208583611,-13.069542977467163,-16.525315567741508
1293.5,-8.234215862673457,-6.405344184499768,-16.502457559556422,-12.805997034432377,-17.832058928413076,-3.373463789985662,-13.22580274156868,-16.516794194238283
1293.6,-8.69290573125783,-6.786781898735187,-16.63125468886595,-12.767757957748785,-17.919749791330823,-3.03653236625425,-13.42337622881982,-16.550734926549048
1293.7,-9.180199808207636,-7.19668710707282,-16.802153504505796,-12.770294323623029,-18.04963719402229,-2.7214775632105486,-13.663208178253782,-16.628016644869554
1293.8,-9.698363289026833,-7.637318631042982,-17.01637863232336,-12.814756662792107,-18.22286407897042,-2.427245903045638,-13.94672673656296,-16.75000360623034
1293.9,-10.250047097067105,-8.111320963705506,-17.275654827396846,-12.9027929003215,-18.441063180442118,-2.1529068454490594,-14.275903044324018,-16.918604886975114
1294.0,-10.83837855640555,-8.621814939694588,-17.58228156654703,-13.03662274060234,-18.70642730239765,-1.8976363813096628,-14.653338784826776,-17.136361796272464
1294.1,-11.467080824848324,-9.172517165330415,-17.93923913069206,-13.219143526421565,-19.021809638562935,-1.6607034584465632,-15.082390579384096,-17.406572143764507
1294.2,-12.140632771344642,-9.767899893078244,-18.35033732405475,-13.454078717463656,-19.39086452107911,-1.4414586853984215,-15.567344997083143,-17.733465128602745
1294.3,-12.864486929650763,-10.413408972193352,-18.820424044306584,-13.746186200490804,-19.818244611130062,-1.2393248834475878,-16.11366563821879,-18.122448308467465
1294.4,-13.645372840932232,-11.1157671882318,-19.355680688627427,-14.10155341410815,-20.30987955120729,-1.0537891505551626,-16.728346356833825,-18.58046071338944
1294.5,-14.491729374348356,-11.883406580471554,-19.964047725596245,-14.528022615726952,-20.87337607044192,-0.8843961720836289,-17.42042617906183,-19.11648766053006
1294.6,-15.414338016846429,-12.727101728466753,-20.655852217637765,-15.035818072849786,-21.518605421845045,-0.7307425678595252,-18.20175969298607,-19.742331045123983
1294.7,-16.427280867286647,-13.66092774285007,-21.44476086342077,-15.63849874514184,-22.258590779800997,-0.5924721075526883,-19.0882079717842,-20.47380016888063
1294.8,-17.54944623297832,-14.703765858462962,-22.349281324419117,-16.354459218201892,-23.1108959706946,-0.4692716595656866,-20.10155566645029,-21.33262874170503
1294.9,-18.807006596480303,-15.881781397657804,-23.395236494646802,-17.209403544293448,-24.099895592807044,-0.3608677648421566,-21.27275622963115,-22.349720017857887
1295.0,-20.23773601329473,-17.232741164402647,-24.62007868523378,-18.240658957474466,-25.260692890494592,-0.2670237479320916,-22.647785203353074,-23.570999998959614
1295.1,-21.899096116344154,-18.81409944506689,-26.080972826570573,-19.50525856101224,-26.64636402130497,-0.18753729446556924,-24.29910221368727,-25.068879346511793
1295.2,-23.884890754422287,-20.719652643079257,-27.87144865480198,-21.096592948378152,-28.342619738427025,-0.12223843790209042,-26.35072939187601,-26.96733172312816
1295.3,-26.36439607886292,-23.118669361694725,-30.16052864675717,-23.183537515616266,-30.501399261403648,-0.07098790968401475,-29.04259263295945,-29.506234973183894
1295.4,-29.69435190557105,-26.367881762007414,-33.30471748866253,-26.12244124322331,-33.43331265809201,-0.033675816336881256,-32.94322028972071,-33.254069740386164
1295.5,-34.87015049271455,-31.462674336507817,-38.299189183990904,-30.908313044627242,-37.95355616635285,-0.010220615042593448,-40.1141747519614,-40.27235097198873
1295.6,-48.02601863514094,-44.53726599923413,-51.27796767215999,-43.67500154341185,-48.033396481023836,-0.0005683661010784744,-51.59377198235355,-51.59934738058904
1295.7,-40.475294265017354,-36.90498668202005,-43.55420212293325,-35.73546943313433,-46.49352574886894,-0.00469224680420394,-36.525606246753014,-36.378606101128796
1295.8,-33.0572908982576,-29.405141776388692,-35.96703022528978,-27.928655725688568,-37.45420203620059,-0.02259231677522146,-31.392538773803583,-31.09294127763411
1295.9,-29.286175995071332,-25.551890489421318,-32.03045552159297,-23.768351924161784,-33.149038257714935,-0.05429553001641553,-28.25835666848501,-27.80609290407467
1296.0,-26.796596424877897,-22.979871303843975,-29.378971962582106,-20.888825278353092,-30.314731034817086,-0.09985599391708953,-26.022623438320366,-25.4175772777967
1296.1,-24.972321818050776,-21.0728453247787,-27.39620645327779,-18.67345987266027,-28.214419329032708,-0.15935548050278198,-24.303774040133646,-23.54578197312486
1296.2,-23.559017961117537,-19.576469669787443,-25.82769153616686,-16.867527668797887,-26.55884583881616,-0.2329042004107298,-22.923765048581124,-22.012615936099508
1296.3,-22.426872621183186,-18.360923287960592,-24.54349058896886,-15.340811852379934,-25.204282858450643,-0.3206418556684368,-21.78502288754882,-20.720457641145643
1296.4,-21.50068782953521,-17.35099923800377,-23.468289560154865,-14.017696473070815,-24.06885189485265,-0.4227389935161582,-20.82829846250798,-19.61000964748459
1296.5,-20.733053012138186,-16.49927781302069,-22.554569624664577,-12.850336720903908,-23.10150616794783,-0.5393986905104521,-20.014954533778386,-18.642585894939327
1296.6,-20.09221082702627,-15.773992371989948,-21.770472616041047,-11.806521647350241,-22.268318008918033,-0.6708586042553921,-19.318442610274655,-17.791588518399365
1296.7,-19.555906981904105,-15.152879151237128,-21.09365050597316,-10.863520544915401,-21.545641335251076,-0.8173934396846163,-18.719783271673432,-17.03798808856377
1296.8,-19.10799973170089,-14.619786755636547,-20.507874630188972,-10.004688615144698,-20.916388324370388,-0.979317888312104,-18.204986837124473,-16.367744196749154
1296.9,-18.73646581206825,-14.162682085520089,-20.001041417532242,-9.217468598060021,-20.367860487251008,-1.1569901128541473,-17.763494310528753,-15.770246313427327
1297.0,-18.432166005132757,-13.772415895595074,-19.56393782124183,-8.492151459805804,-19.890416191045443,-1.35081586681983,-17.387190643114952,-15.237326960853277
1297.1,-18.188048747084675,-13.44192639543758,-19.189444866897304,-7.8210744274673205,-19.476616277906768,-1.5612533600685505,-17.069756458872888,-14.762613344937005
1297.2,-17.998618851675882,-13.165707965622346,-18.872006398640725,-7.19808329770168,-19.12065691019293,-1.7888190081842184,-16.806229027602853,-14.341088230692776
1297.3,-17.859573447506378,-12.939447087354694,-18.607265132397764,-6.618160935257601,-18.817982426546077,-2.034094237552022,-16.59269765437452,-13.96878522959981
1297.4,-17.767547282109987,-12.759767638599243,-18.39180818418763,-6.077163888304432,-18.56501527119409,-2.297733561546972,-16.426088420677925,-13.642573433660111
1297.5,-17.719931983764777,-12.624050147616666,-18.222986685066157,-5.57163142794783,-18.358964677942527,-2.580474199397874,-16.304010248347534,-13.360003366701436
1297.6,-17.71474698254768,-12.53030270540969,-18.098787212202932,-5.098644354704151,-18.197690080406304,-2.8831475824519623,-16.22464440184546,-13.119196367927511
1297.7,-17.7505477546934,-12.47706920112301,-18.0177407381033,-4.65571877803676,-18.079603845434676,-3.206693188772998,-16.186665813360992,-12.918765791544299
1297.8,-17.82636207775945,-12.46336556788018,-17.978859837105187,-4.240724966255312,-18.003603334413206,-3.5521752748716002,-16.189188636764616,-12.757762427810384
1297.9,-17.941648288296214,-12.488638030731758,-17.981598211540174,-3.85182449017515,-17.969025828992613,-3.9208032451526806,-16.231731127962377,-12.635639242293307
1298.0,-18.09627182307868,-12.552739637760869,-18.025828916299155,-3.48742093081402,-17.975622282844892,-4.313956633054128,-16.31419685087389,-12.55223243174574
1298.1,-18.290498028956065,-12.655923059366796,-18.111839403265616,-3.14612079074689,-18.02354764355361,-4.733215989215473,-16.436870656897757,-12.507757243529676
1298.2,-18.525000628295846,-12.798849042692659,-18.240342965623817,-2.826702183169565,-18.11336693072928,-5.180401420071139,-16.60042911000018,-12.5028182297437
1298.3,-18.80088653926449,-12.982611220405765,-18.41250755837833,-2.528089521439985,-18.246077578981375,-5.657621154765557,-16.80596620736912,-12.538434784869722
1298.4,-19.119739164581137,-13.208779387441162,-18.63000451316481,-2.249332889792611,-18.423149951318674,-6.167333430852019,-17.05503654451162,-12.616084114588768
1298.5,-19.483683994095532,-13.479465091037826,-18.895081593989385,-1.9895911038774585,-18.646589610602778,-6.712426325258837,-17.34971968827957,-12.737765397898196
1298.6,-19.89548270571041,-13.797415718548034,-19.210667490941262,-1.7481177078167573,-18.919027181619352,-7.296322151397574,-17.692711719143045,-12.906091102313502
1298.7,-20.35866533789996,-14.166146656247218,-19.580518742399075,-1.5242493295727781,-19.243844861661522,-7.923116084740157,-18.087453095965497,-13.124414603730854
1298.8,-20.877715273978183,-14.59012625926124,-20.009426084919227,-1.3173959465871465,-19.625353525168954,-8.597763430477732,-18.538306860237114,-13.397008126010483
1298.9,-21.458329988409034,-15.075036582863548,-20.50350688916066,-1.12703271156491,-20.069042094727006,-9.326337571312585,-19.050808906084935,-13.729312724476648
1299.0,-22.107794056151093,-15.628146376103256,-21.070626476423552,-0.9526930626818076,-20.58193354161839,-10.116393246762192,-19.63202472048121,-14.128294715393357
1299.1,-22.83552417651788,-16.258856089192896,-21.721019167933644,-0.7939628995174407,-21.173103543279538,-10.977491420271729,-20.291068652760444,-14.602964607833913
1299.2,-23.653887587057653,-16.97951627012943,-22.468230916804753,-0.6504756502510882,-21.854456389150776,-11.921980508743296,-21.039880329566824,-15.165153151081231
1299.3,-24.579473464057884,-17.80669894709211,-23.33060292403016,-0.5219080901268873,-22.641924722622655,-12.966200709795057,-21.894424822208528,-15.830711101106655
1299.4,-25.63515251599227,-18.763257202893662,-24.333713861864112,-0.4079767984555565,-23.55740182151344,-14.132420248828868,-22.876625284006003,-16.621441419879996
1299.5,-26.853591496366466,-19.881839667883604,-25.514631721002402,-0.3084351630473496,-24.632015037019784,-15.452112263498982,-24.017636689575085,-17.56837253507347
1299.6,-28.283657959281765,-21.211295254563925,-26.929864367408914,-0.22307085836252002,-25.9120361742819,-16.971868188852966,-25.36375646872742,-18.717668447865723
1299.7,-30.003134909108745,-22.82938778524789,-28.6716943650443,-0.1517037377681992,-27.470471810649762,-18.764990705344562,-26.988015038690204,-20.142218686874756
1299.8,-32.1470743925135,-24.87114956093873,-30.90641329279765,-0.09418409185399071,-29.43247322730069,-20.956905980202258,-29.01558591638896,-21.967047783475362
1299.9,-34.982652081620394,-27.603735920136007,-33.983089515639676,-0.050391234359298855,-32.04072396596033,-23.79055325961925,-31.689173427427292,-24.434702277682643
1300.0,-39.16918332824221,-31.686441267429256,-38.86669480180353,-0.020232385366957394,-35.87270995465029,-27.843656793943403,-35.58628295958022,-28.122520193869992
1300.1,-47.368739273469046,-39.7813151560831,-51.26194985862092,-0.003641828352025992,-43.04486715496866,-35.232875080568874,-42.823368716404566,-35.14677793204327
1300.2,-52.68089569783169,-44.98791110974027,-44.514721358730355,-0.0005803237569344096,-53.650394861024,-46.051615581833104,-53.49364710351332,-45.60050269579606
1300.3,-41.12872122683406,-33.32927479794594,-36.70660784601495,-0.011034767216367416,-38.98786498301258,-31.59864527394874,-38.89570608236105,-30.78208077854809
1300.4,-36.43728407382003,-28.53045074734514,-32.68328213288352,-0.03501808558704597,-33.81133115422994,-26.628200885403256,-33.783614331705834,-25.4453655327777
1300.5,-33.4867965028542,-25.471626771134144,-29.970185295509943,-0.07256936873118602,-30.60374428549224,-23.623405465536504,-30.640336841641776,-22.07309162913969
1300.6,-31.35735261675527,-23.232871721771172,-27.93473401548157,-0.12375423972497815,-28.286475049270756,-21.50579177999632,-28.38725742303066,-19.586396067128792
1300.7,-29.711151192892807,-21.47635828943597,-26.31760949978598,-0.18866547097674824,-26.48306509571445,-19.899054347589303,-26.64792993462185,-17.608567714718316
1300.8,-28.386047009813232,-20.039914289159768,-24.986900692099926,-0.267423858818032,-25.01730604433639,-18.62712917297678,-25.246157271356218,-15.96312439106823
1300.9,-27.291636176644502,-18.83310794841911,-23.866325524287912,-0.3601793746580877,-23.792456478747035,-17.59341141183766,-24.08520834053133,-14.55302768410197
1301.0,-26.372380908702997,-17.800372638461504,-22.907823219845994,-0.46711261696084594,-22.74970964155092,-16.739223673613807,-23.10628572176036,-13.319148157360818
1301.1,-25.59175998805307,-16.905157287921107,-22.079198169160513,-0.5884365953972875,-21.85069534878679,-16.026318488219545,-22.271027528394956,-12.222764414056096
1301.2,-24.924521524621497,-16.122179094145036,-21.357871811080706,-0.7243988867799456,-21.069045957166157,-15.42844477604133,-21.553073301304288,-11.237125789449236
1301.3,-24.352526563377154,-15.43326707752201,-20.727443982523877,-0.8752842122389631,-20.385918664448646,-14.926870606912066,-20.933586212222764,-10.342970876496477
1301.4,-23.862355623524927,-14.8249685645312,-20.175673016833137,-1.0414174969637666,-19.78743814495385,-14.507826254742076,-20.39869557457544,-9.525965794869778
1301.5,-23.443851614732903,-14.287092044289821,-19.693226346331826,-1.2231674883105608,-19.263150168893667,-14.160958200593829,-19.93795030515555,-8.77515273948617
1301.6,-23.089192304202633,-13.811779572123704,-19.272874790637548,-1.4209510259982299,-18.80504296434619,-13.878350846673321,-19.54334008862371,-8.081965428650102
1301.7,-22.79227808287942,-13.392894468174548,-18.908955024259463,-1.6352380803900912,-18.406904742034044,-13.653884364589938,-19.20865265610852,-7.4395797000681
1301.8,-22.548315790069793,-13.025605069974024,-18.597000956721352,-1.866557702978326,-18.063889365076598,-13.482800662916901,-18.929039148559742,-6.842471022337734
1301.9,-22.353529126989024,-12.706095069161714,-18.333485405598516,-2.115505068819261,-17.772216029601406,-13.361403342449933,-18.70071341569218,-6.286104518181649
1302.0,-22.204953615594793,-12.43135838831253,-18.11563618028723,-2.3827498363817057,-17.52895835309689,-13.286847038296903,-18.5207406276352,-5.766712554842709
1302.1,-22.100289848528867,-12.199052343264512,-17.941303957810913,-2.669046109370796,-17.33189520142384,-13.25698848172729,-18.38688750402274,-5.281131796551461
1302.2,-22.037798229588187,-12.007392289912513,-17.80886736782995,-2.975244362181939,-17.179405704778453,-13.270281733850645,-18.297516575806696,-4.826681607742617
1302.3,-22.01622427738566,-11.85507682760612,-17.717165752594976,-3.302305792334528,-17.07039720964021,-13.325706339773514,-18.25151317955866,-4.401071823618153
1302.4,-22.03474735493732,-11.741236421327098,-17.665453362665602,-3.651319698590432,-17.004259010338423,-13.422721248304345,-18.2482379633299,-4.002331771955392
