wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1504.075,-0.43927608127645823,-32.36286525490329,-30.313593401319547,-29.949164400096315,-24.30928822966321,-32.49130809755734,-25.2658167586781,-32.41647007049806,-17.87778963683344,-32.90861740244672,-28.32228702773999,-31.433369072733694,-27.745312605415787,-31.645384333835583,-19.910380425077257,-32.85171539112271
1504.2125,-0.5241342352590641,-31.03513366385836,-28.90163490813631,-28.45943836472392,-22.759543519539072,-31.056901561451863,-23.904443865671475,-30.949998423188386,-16.20401076749695,-31.463733244491774,-26.928514340443837,-29.957010284008053,-26.235042375413382,-30.220940502136095,-18.634065459034645,-31.395995699300844
1504.35,-0.6243372643450225,-29.92056926738821,-27.735592160887684,-27.215606868431834,-21.454708453086518,-29.868531253838924,-22.788264965386947,-29.729585220401603,-14.770366379410639,-30.264768141065176,-25.780464884108056,-28.726652123754434,-24.97042468638698,-29.042498947127168,-17.6004517630297,-30.186281427618
1504.4875,-0.7400949487363407,-28.970669057113128,-26.755219913996253,-26.1574184244341,-20.33450314734257,-28.8659492304783,-21.85705299978914,-28.694981251348484,-13.516274986108893,-29.251461479873278,-24.817897251940945,-27.682044838209954,-23.891202889527253,-28.049812896538096,-16.749427270420906,-29.162327989030125
1504.625,-0.871655576120344,-28.15299650215442,-25.921334826947238,-25.245683441137814,-19.3597084793039,-28.009969462629485,-21.071642204520167,-27.80699926259767,-12.40218876927704,-28.384613136062917,-24.001631845546584,-26.784000607140392,-22.9581820851164,-27.203697508800467,-16.041934073084473,-28.284952454948616
1504.7625,-1.0193086870836003,-27.44484261275335,-25.20707548474208,-24.453534240079456,-18.503426044577107,-27.273727854758356,-20.405188155669734,-27.03877397660335,-11.400850304379604,-27.637343277513136,-23.30481089851773,-26.005653562721566,-22.144489135221672,-26.477289892678662,-15.451229025377025,-27.527293601352994
1504.9,-1.1833883739473727,-26.82974358642052,-24.593282599131324,-23.761805254626903,-17.746458292928924,-26.63806244290714,-19.838547995953352,-26.371142291080236,-10.492668973280228,-26.99047231211928,-22.70827868068517,-25.327839989218255,-21.43095285692036,-25.851429307691394,-14.958264475131228,-26.870192132792383
1505.0375,-1.364277219008117,-26.29543839212003,-24.065869390293866,-23.15640340911621,-17.07467884010798,-26.08888377338517,-19.35765084004973,-25.790013658894495,-9.663086971948156,-26.429890968281317,-22.197951882702213,-24.736468703136687,-20.80347439572048,-25.31202754499767,-14.549059127178552,-26.299561084313623
1505.175,-1.5624109794017225,-25.83260731193509,-23.614235761979366,-22.626722291430724,-16.477446568605195,-25.615589074776768,-18.951911972193418,-25.284784261476002,-8.900988414191279,-25.944974110966577,-21.763233793982266,-24.220935226855786,-20.251441392165916,-24.848483101756756,-14.213112657526182,-25.80480001463696
1505.3125,-1.7782841522879145,-25.434059764970435,-23.23026685637773,-22.164640705292392,-15.946604103269594,-25.21006080951896,-18.613231422357433,-24.847335562021193,-8.19769197981753,-25.52757886615033,-21.396012860259866,-23.77312034200958,-19.766726527887464,-24.452679735229466,-13.942404668923093,-25.377793577119316
1505.45,-2.0124565875618674,-25.09419356059398,-22.907676746391246,-21.76386635992951,-15.475821419037075,-24.866010362702117,-18.33533767877251,-24.471377996150796,-7.546287694075239,-25.171387794136635,-21.090006378454852,-23.38673378028593,-19.343031208745632,-24.118330154291932,-13.730738749445655,-25.012255226406687
1505.5875,-2.265561357956533,-24.8086251329809,-22.64156536760684,-21.419492799421796,-15.060152682642798,-24.57853497037284,-18.11334463914083,-24.152007902321895,-6.941185727724074,-24.871465192006706,-20.84031743114245,-23.056871153944705,-18.97544248735422,-23.840532950660815,-13.573299739870958,-24.703284163279264
1505.725,-2.538314151393574,-24.573931539763123,-22.42811247885317,-21.127693360602187,-14.695730116715387,-24.343811676200534,-17.943445589489112,-23.88540148087393,-6.377800739116767,-24.623950285513054,-20.643128849516522,-22.779707914934768,-18.660127013845656,-23.615466558711645,-13.466348001800078,-24.44705930674609
1505.8625,-2.8315245219175242,-24.387468063322174,-22.26436288233993,-20.885506390510805,-14.37954911672341,-24.15888254748072,-17.82269844171298,-23.668600012704196,-5.852325650720128,-24.425841504101996,-20.495488435849833,-22.55228457360895,-18.39411624585863,-23.44017447488843,-13.407004920252847,-24.240624524540962
1506.0,-3.146109429437977,-24.247238710196235,-22.148074551845124,-20.690683371864083,-14.10931626865785,-24.021502798912717,-17.748873878329658,-23.499357986035925,-5.361566076440727,-24.27484343831873,-20.395157093917163,-22.372354825498377,-18.17515456619043,-23.31241338516683,-13.393101291615888,-24.081736770616324
1506.1375,-3.4831096231043683,-24.151805076966006,-22.077611704025184,-20.54158199161039,-13.883342301883294,-23.93003385919618,-17.7203484395621,-23.376036166350932,-4.902816878465939,-24.169258449131377,-20.340501902464045,-22.238278621222936,-18.00159234316836,-23.230546235647175,-13.423070634173005,-23.96875916482808
1506.275,-3.84370959030317,-24.100224217502884,-22.05187129743752,-20.43709263715933,-13.700468461041444,-23.88336986500153,-17.736031037388592,-23.29752809407468,-4.4737686149825,-24.107911325526135,-20.33042261631115,-22.14894866412434,-17.87231241830537,-23.193468730864012,-13.495875907721802,-23.900587499501622
1506.4125,-4.229262020178428,-24.092009564644258,-22.070235629713473,-20.37659099072069,-13.560018966665488,-23.880890252714288,-17.7953155670371,-23.263212680450195,-4.072435599357787,-24.090099540640935,-20.36430426553569,-22.103743006059396,-17.786682691654377,-23.200561930249233,-13.610962314425237,-23.87660284340754
1506.55,-4.641318042475223,-24.127111358375274,-22.132546574844227,-20.359912263709163,-13.461775105598095,-23.922433989872612,-17.898055157928347,-23.272928443559664,-3.6970998512621733,-24.115564482672415,-20.441991394698,-22.102499283314522,-17.744530346794537,-23.251666484711148,-13.768231724396296,-23.896645785187136
1506.6875,-5.081664936933797,-24.205914862079652,-22.239099130306453,-20.387344740944148,-13.405968619991544,-24.008293115976883,-18.04455573382694,-23.32696705422108,-3.3462669138058247,-24.184481098604497,-20.563781611839712,-22.14550826236879,-17.74613538515346,-23.347076183053723,-13.968036397106648,-23.961009986026227
1506.825,-5.552373622662463,-24.329256213415785,-22.390653701378053,-20.459642061985278,-13.39329382116772,-24.13922501996765,-18.235588309590252,-23.426085619106285,-3.0186306544332786,-24.297465049399896,-20.73043787460929,-22.23352612285194,-17.79224289697968,-23.487550235585903,-14.211191427208847,-24.070454468986284
1506.9625,-6.055859118936978,-24.498457298155163,-22.588468218756287,-20.5780553357169,-13.424939523275274,-24.31648455042286,-18.47242112065594,-23.571538797192048,-2.713044954312409,-24.45559799879269,-20.943220609628717,-22.36780657381071,-17.8840951650501,-23.67434539103149,-14.49900701198635,-24.226235741161396
1507.1,-6.594958458052528,-24.71538278965273,-22.83435302521051,-20.744388023909917,-13.502643731162465,-24.541878894138907,-18.756874521031833,-23.76513368527582,-2.42850074164202,-24.66047327571411,-21.20394260083628,-22.550155739014954,-18.023486536811443,-23.909270822471058,-14.833343477160735,-24.43016268444158
